,Y,F,W,U
0,2020,Tenet,['Tenet (film)'],<WikipediaPage 'Tenet (film)'>
1,2021,Black Widow,['Black Widow (2021 film)'],<WikipediaPage 'Black Widow (2021 film)'>
2,2020,Onward,['Onward (film)'],<WikipediaPage 'Onward (film)'>
3,2012,Brave,['Brave (2012 film)'],<WikipediaPage 'Brave (2012 film)'>
4,2011,Hugo,['Hugo (film)'],<WikipediaPage 'Hugo (film)'>
5,2009,Up,['Up (2009 film)'],<WikipediaPage 'Up (2009 film)'>
6,2017,Coco,['Coco (2017 film)'],<WikipediaPage 'Coco (2017 film)'>
7,2014,Interstellar,['Interstellar (film)'],<WikipediaPage 'Interstellar (film)'>
8,2013,Frozen,['Frozen (2013 film)'],<WikipediaPage 'Frozen (2013 film)'>
9,2008,Hancock,['Hancock (film)'],<WikipediaPage 'Hancock (film)'>
10,2008,Bolt,['Bolt (2008 film)'],<WikipediaPage 'Bolt (2008 film)'>
11,2015,Pan,['Pan (2015 film)'],<WikipediaPage 'Pan (2015 film)'>
12,2005,Stealth,['Stealth (film)'],<WikipediaPage 'Stealth (film)'>
13,2017,Logan,['Logan (film)'],<WikipediaPage 'Logan (film)'>
14,2018,Rampage,['Rampage (2018 film)'],<WikipediaPage 'Rampage (2018 film)'>
15,2013,Oblivion,['Oblivion (2013 film)'],<WikipediaPage 'Oblivion (2013 film)'>
16,2005,The Island,['The Island (2005 film)'],<WikipediaPage 'The Island (2005 film)'>
17,2000,The Patriot,['The Patriot (2000 film)'],<WikipediaPage 'The Patriot (2000 film)'>
18,2004,The Aviator,['The Aviator (2004 film)'],<WikipediaPage 'The Aviator (2004 film)'>
19,2013,Epic,['Epic (2013 film)'],<WikipediaPage 'Epic (2013 film)'>
20,2010,The Tourist,['The Tourist (2010 film)'],<WikipediaPage 'The Tourist (2010 film)'>
21,2019,Midway,['Midway (2019 film)'],<WikipediaPage 'Midway (2019 film)'>
22,2014,Transcendence,['Transcendence (2014 film)'],<WikipediaPage 'Transcendence (2014 film)'>
23,2012,The Campaign,['The Campaign (film)'],<WikipediaPage 'The Campaign (film)'>
24,2010,Unstoppable,['Unstoppable (2010 film)'],<WikipediaPage 'Unstoppable (2010 film)'>
25,2011,Rio,['Rio (2011 film)'],<WikipediaPage 'Rio (2011 film)'>
26,1997,Contact,['Contact (1997 American film)'],<WikipediaPage 'Contact (1997 American film)'>
27,1997,The Saint,['The Saint (1997 film)'],<WikipediaPage 'The Saint (1997 film)'>
28,2017,Bright,['Bright (film)'],<WikipediaPage 'Bright (film)'>
29,1996,Twister,['Twister (1996 film)'],<WikipediaPage 'Twister (1996 film)'>
30,2007,Enchanted,['Enchanted (film)'],<WikipediaPage 'Enchanted (film)'>
31,2009,Itâ€™s Complicated,"[""It's Complicated (film)""]",<WikipediaPage 'It's Complicated (film)'>
32,2006,Open Season,['Open Season (2006 film)'],<WikipediaPage 'Open Season (2006 film)'>
33,2013,RED 2,['Red 2 (film)'],<WikipediaPage 'Red 2 (film)'>
34,2006,Click,['Click (2006 film)'],<WikipediaPage 'Click (2006 film)'>
35,2008,Jumper,['Jumper (2008 film)'],<WikipediaPage 'Jumper (2008 film)'>
36,2003,Daredevil,['Daredevil (film)'],<WikipediaPage 'Daredevil (film)'>
